filename_similarity,content_similarity,metadata_similarity,size_similarity,tfidf_similarity,embedding_similarity,sha256_match,overall_similarity,label
0.95,0.92,0.88,0.90,0.91,0.89,1,0.95,1
0.15,0.12,0.18,0.14,0.16,0.13,0,0.15,0
0.88,0.91,0.85,0.89,0.90,0.88,1,0.90,1
0.22,0.19,0.25,0.20,0.21,0.18,0,0.22,0
0.92,0.94,0.90,0.93,0.92,0.91,1,0.93,1
0.18,0.15,0.20,0.16,0.17,0.14,0,0.18,0
0.91,0.93,0.89,0.92,0.91,0.90,1,0.92,1
0.25,0.22,0.28,0.23,0.24,0.21,0,0.25,0
0.89,0.87,0.85,0.86,0.88,0.86,1,0.88,1
0.16,0.13,0.19,0.15,0.14,0.12,0,0.16,0
0.93,0.95,0.91,0.94,0.93,0.92,1,0.94,1
0.20,0.17,0.23,0.18,0.19,0.16,0,0.20,0
0.85,0.82,0.80,0.81,0.84,0.83,0,0.83,0
0.87,0.84,0.82,0.83,0.86,0.85,0,0.85,0
0.90,0.88,0.86,0.87,0.89,0.88,1,0.89,1
0.12,0.09,0.15,0.10,0.11,0.08,0,0.12,0
0.94,0.96,0.92,0.95,0.94,0.93,1,0.95,1
0.23,0.20,0.26,0.21,0.22,0.19,0,0.23,0
0.86,0.83,0.81,0.82,0.85,0.84,0,0.84,0
0.88,0.85,0.83,0.84,0.87,0.86,0,0.86,0
0.91,0.89,0.87,0.88,0.90,0.89,1,0.90,1
0.19,0.16,0.22,0.17,0.18,0.15,0,0.19,0
0.92,0.94,0.90,0.93,0.92,0.91,1,0.93,1
0.14,0.11,0.17,0.12,0.13,0.10,0,0.14,0
0.87,0.85,0.83,0.84,0.86,0.85,1,0.86,1
0.24,0.21,0.27,0.22,0.23,0.20,0,0.24,0
0.89,0.87,0.85,0.86,0.88,0.87,1,0.88,1
0.17,0.14,0.20,0.15,0.16,0.13,0,0.17,0
0.93,0.95,0.91,0.94,0.93,0.92,1,0.94,1
0.21,0.18,0.24,0.19,0.20,0.17,0,0.21,0
