pair_id,label,filename_similarity,content_similarity,metadata_similarity,size_similarity,tfidf_similarity,embedding_similarity,sha256_match,overall_similarity,difficulty,geometric_cluster_id,is_labeled,uncertainty_score,difficulty_code
1,1,0.7778,1.0,0.6667,1.0,0.9941,0.9973,0.0,0.9424,Medium,3,False,0.5,1
2,1,0.7451,0.9667,0.6388,1.0,0.9353,0.9927,0.0,0.9091,Hard,3,False,0.5,2
3,0,0.5,0.3888,0.6434,0.6165,0.0097,0.0123,0.0,0.2553,Non-Duplicate,2,False,0.5,4
4,0,0.4865,0.4128,0.2178,0.4128,0.022,0.0217,0.0,0.2248,Non-Duplicate,0,False,0.5,4
5,1,0.7308,0.9857,0.1607,1.0,0.9068,0.9143,0.0,0.8437,Hard,3,False,0.5,2
6,0,0.4186,0.4404,0.3594,0.957,0.0142,0.0148,0.0,0.2385,Non-Duplicate,2,False,0.5,4
7,1,0.8889,1.0,1.0,1.0,0.9851,0.9968,0.0,0.9845,Easy,1,False,0.5,0
8,1,0.9091,1.0,0.6667,1.0,0.9779,0.9984,0.0,0.9517,Medium,3,False,0.5,1
9,0,0.4651,0.3397,0.5836,0.2448,0.0173,0.016,0.0,0.2313,Non-Duplicate,0,False,0.5,4
10,0,0.4615,0.2763,0.2872,0.232,0.0156,0.0155,0.0,0.1786,Non-Duplicate,0,False,0.5,4
11,0,0.4615,0.2802,0.2991,0.2508,0.0214,0.0241,0.0,0.1843,Non-Duplicate,0,False,0.5,4
12,1,0.8936,0.9939,0.7667,1.0,0.9692,0.9869,0.0,0.9536,Medium,1,False,0.5,1
13,1,0.7692,1.0,0.4333,1.0,1.0,1.0,0.0,0.9203,Hard,3,False,0.5,2
14,0,0.6154,0.6495,0.3886,0.8942,0.2495,0.2668,0.0,0.4435,Non-Duplicate,2,False,0.5,4
15,1,0.8837,0.9983,0.6667,1.0,0.9695,0.9759,0.0,0.942,Medium,3,False,0.5,1
16,1,0.8636,1.0,0.6667,1.0,0.9868,0.9862,0.0,0.947,Medium,3,False,0.5,1
