pair_id,geometric_cluster_id
1,3
2,3
3,2
4,0
5,3
6,2
7,1
8,3
9,0
10,0
11,0
12,1
13,3
14,2
15,3
16,3
17,0
18,0
19,2
20,3
21,0
22,3
23,0
24,0
25,2
26,0
27,1
28,0
29,0
30,3
31,0
32,3
33,3
34,0
35,1
36,1
37,3
38,1
39,0
40,0
41,2
42,3
43,3
44,0
45,0
46,1
47,1
48,2
49,3
50,2
51,1
52,1
53,3
54,0
55,1
56,0
57,0
58,0
59,0
60,2
61,0
62,0
63,0
64,1
65,2
66,0
67,0
68,1
69,0
70,1
71,2
72,0
73,3
74,0
75,1
76,0
77,2
78,0
79,1
80,3
81,1
82,3
83,3
84,0
85,0
86,3
87,3
88,3
89,3
90,0
91,3
92,2
93,0
94,0
95,2
96,3
97,1
98,1
99,1
100,1
101,0
102,3
103,1
104,0
105,0
106,3
107,1
108,3
109,0
110,3
111,0
112,2
113,3
114,0
115,2
116,2
117,0
118,0
119,1
120,3
121,1
122,2
123,0
124,1
125,1
126,2
127,1
128,3
129,0
130,0
131,1
132,0
133,1
134,1
135,1
136,3
137,1
138,0
139,2
140,3
141,3
142,1
143,2
144,3
145,3
146,0
147,0
148,1
149,0
150,0
151,3
152,1
153,3
154,1
155,3
156,1
157,3
158,1
159,0
160,0
161,3
162,0
163,3
164,2
165,3
166,1
167,1
168,3
169,2
170,0
171,1
172,2
173,0
174,1
175,1
176,1
177,1
178,0
179,3
180,3
181,3
182,1
183,1
184,1
185,1
186,1
187,0
188,1
189,3
190,0
191,2
192,3
193,0
194,0
195,0
196,3
197,1
198,3
199,0
200,3
201,3
202,1
203,0
204,0
205,0
206,3
207,1
208,0
209,3
210,0
211,3
212,0
213,2
214,0
215,3
216,3
217,3
218,3
219,3
220,0
221,2
222,0
223,3
224,1
225,2
226,2
227,0
228,0
229,2
230,0
231,0
232,1
233,0
234,2
235,3
236,1
237,0
238,3
239,0
240,0
241,2
242,0
243,2
244,2
245,3
246,3
247,3
248,0
249,0
250,3
251,0
252,3
253,0
254,2
255,0
256,1
257,1
258,2
259,0
260,0
261,1
262,3
263,3
264,0
265,2
266,0
267,3
268,3
269,0
270,0
271,2
272,0
273,0
274,1
275,2
276,3
277,0
278,2
279,0
280,3
281,2
282,0
283,0
284,1
285,3
286,3
287,3
288,0
289,0
290,0
291,3
292,1
293,1
294,1
295,0
296,0
297,3
298,0
299,2
300,2
301,1
302,0
303,3
304,0
305,2
306,3
307,1
308,0
309,0
310,0
311,2
312,0
313,3
314,2
315,0
316,1
317,2
318,0
319,1
320,0
321,0
322,2
323,0
324,2
325,1
326,3
327,3
328,2
329,3
330,2
331,3
332,1
333,3
334,1
335,0
336,3
337,0
338,3
339,1
340,3
341,3
342,1
343,0
344,0
345,2
346,3
347,0
348,1
349,2
350,0
351,1
352,2
353,3
354,1
355,2
356,2
357,2
358,2
359,0
360,2
361,1
362,3
363,2
364,2
365,2
366,0
367,2
368,1
369,3
370,0
371,0
372,3
373,1
374,3
375,0
376,3
377,3
378,3
379,0
380,0
381,0
382,0
383,3
384,1
385,2
386,1
387,0
388,3
389,1
390,0
391,1
392,0
393,3
394,1
395,1
396,1
397,1
398,3
399,1
400,0
401,1
402,2
403,3
404,3
405,1
406,2
407,3
408,3
409,0
410,1
411,0
412,3
413,3
414,0
415,2
416,0
417,3
418,3
419,0
420,3
421,3
422,2
423,3
424,1
425,3
426,1
427,0
428,0
429,3
430,2
431,3
432,0
433,0
434,3
435,0
436,0
437,0
438,3
439,0
440,0
441,2
442,1
443,3
444,0
445,3
446,3
447,2
448,0
449,0
450,0
451,3
452,3
453,1
454,1
455,1
456,0
457,2
458,0
459,0
460,1
461,1
462,3
463,2
464,3
465,3
466,3
467,0
468,1
469,1
470,3
471,1
472,1
473,1
474,1
475,0
476,1
477,0
478,0
479,1
480,3
481,3
482,2
483,0
484,0
485,1
486,0
487,3
488,2
489,0
490,1
491,0
492,2
493,2
494,0
495,3
496,3
497,0
498,2
499,0
500,1
501,1
502,2
503,0
504,0
505,2
506,1
507,0
508,0
509,1
510,2
511,0
512,0
513,3
514,2
515,1
516,2
517,0
518,0
519,2
520,0
521,0
522,0
523,3
524,3
525,1
526,3
527,1
528,0
529,1
530,2
531,0
532,1
533,0
534,2
535,2
536,0
537,0
538,0
539,0
540,3
541,1
542,2
543,0
544,1
545,0
546,1
547,3
548,2
549,2
550,0
551,0
552,2
553,3
554,3
555,1
556,0
557,3
558,0
559,1
560,3
561,3
562,2
563,0
564,0
565,3
566,3
567,2
568,1
569,3
570,3
571,3
572,1
573,2
574,0
575,0
576,3
577,0
578,3
579,0
580,2
581,3
582,0
583,3
584,3
585,2
586,1
587,0
588,0
589,1
590,0
591,3
592,3
593,1
594,1
595,0
596,3
597,2
598,2
599,1
600,0
601,0
602,2
603,3
604,3
605,3
606,2
607,3
608,3
609,3
610,0
611,0
612,3
